,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7783,138,0,18,0.7369334679964651,2
1,7744,177,0,30,0.7332407524302487,6
2,7592,329,0,21,0.7188486302234567,7
3,7585,335,1,12,0.7182173967933341,8
4,7560,360,1,15,0.7158502714303749,9
5,7532,388,1,20,0.7131990910238606,11
6,7485,435,1,16,0.7087488953414972,14
7,7478,442,1,15,0.7080861002398686,16
8,7440,479,2,24,0.7045196313596769,18
9,7426,492,3,24,0.7032256028279258,21
10,7418,500,3,21,0.7024681227117787,22
11,7409,507,5,18,0.7016790809241258,24
12,7326,590,5,22,0.6938202247191012,24
13,7292,624,5,15,0.6906009342254766,25
14,7274,642,5,25,0.688896603964146,27
15,7257,659,5,24,0.6872869587173337,28
16,7195,721,5,19,0.6814164878171948,28
17,7178,738,5,19,0.6798068425703826,29
18,7171,745,5,18,0.679144047468754,31
19,7162,754,5,19,0.6782918823380887,31
20,5777,2137,7,1210,0.5472162605731599,52
21,5773,2140,8,16,0.5468690821865926,53
22,5771,2142,8,21,0.5466797121575558,53
23,5440,2471,10,24,0.515402095694988,53
24,5436,2475,10,18,0.5150233556369145,55
25,5431,2479,11,17,0.5145814922358289,55
26,5399,2509,13,23,0.5116146951142532,57
27,5369,2539,13,25,0.5087741446787022,58
28,5310,2596,15,25,0.5032508521651307,61
29,5198,2707,16,22,0.4926776922105795,61
30,5183,2722,16,19,0.49125741699280395,61
31,5171,2733,17,18,0.49015275849008966,61
32,5170,2732,19,13,0.4901211968185835,62
33,5161,2741,19,15,0.4892690316879182,62
34,5057,2845,19,17,0.47942179017800785,62
35,5012,2890,19,16,0.4751609645246812,62
36,4892,3009,20,23,0.46383032445398303,65
37,4866,3033,22,17,0.46143163741951776,66
38,4867,3032,22,15,0.4615263224340361,66
39,4868,3030,23,18,0.46165256912006064,66
40,4844,3054,23,19,0.45938012877161977,66
41,4799,3098,24,17,0.45515086478979927,66
42,4796,3100,25,17,0.4548983714177503,66
43,4789,3107,25,19,0.4542355763161217,68
44,4722,3173,26,22,0.44792324201489714,70
45,4671,3222,28,21,0.44315742961747256,71
46,4666,3226,29,20,0.4427155662163868,71
47,4664,3228,29,21,0.44252619618735006,71
48,4664,3224,33,14,0.4426524428733746,72
49,4659,3228,34,22,0.4422105794722888,72
50,4657,3227,37,17,0.4421158944577705,73
51,4650,3232,39,16,0.44151622269915414,73
52,4609,3271,41,15,0.43769726044691326,74
53,4610,3267,44,20,0.43788663047594995,74
54,4561,3314,46,23,0.43331018810756217,75
55,3922,3953,46,1107,0.37280646383032445,88
56,3912,3960,49,18,0.3719542986996591,90
57,3903,3968,50,22,0.37113369524049994,90
58,3886,3983,52,15,0.3695871733366999,90
59,3846,4022,53,27,0.3658313344274713,91
60,3843,4025,53,19,0.3655472793839162,93
61,3844,4022,55,18,0.3657050877414468,95
62,3811,4055,55,23,0.3625804822623406,95
63,3803,4060,58,23,0.361917687160712,95
64,3762,4100,59,19,0.358067163236965,97
65,3752,4109,60,22,0.35715187476328747,100
66,3753,4107,61,29,0.3572781214493119,101
67,3746,4113,62,28,0.3566468880191895,101
68,3746,4113,62,17,0.3566468880191895,101
69,3704,4153,64,18,0.35273324075243023,101
70,3673,4183,65,18,0.3498295669738669,101
71,3670,4185,66,10,0.34957707360181794,101
72,3653,4202,66,19,0.3479674283550057,101
73,3650,4203,68,13,0.34774649665446283,102
74,3653,4200,68,17,0.34803055169801794,102
75,3648,4205,68,18,0.3475571266254261,102
76,3610,4243,68,22,0.3439590960737281,102
77,3612,4240,69,15,0.3441800277742709,102
78,3616,4235,70,19,0.3445903295038505,102
79,3613,4235,73,26,0.34440095947481375,102
80,3601,4246,74,17,0.3432963009720995,102
81,3599,4248,74,20,0.3431069309430627,102
82,3586,4259,76,32,0.3419391490973362,104
83,3586,4257,78,17,0.3420022724403485,105
84,3579,4258,84,21,0.3415288473677566,106
85,3562,4273,86,22,0.3399823254639566,106
86,3563,4271,87,24,0.3401085721499811,106
87,3564,4267,90,17,0.3402979421790178,106
88,3487,4344,90,21,0.3330071960611034,107
89,3492,4337,92,18,0.3335437444767075,107
90,3243,4584,94,22,0.31003029920464586,108
91,3200,4626,95,21,0.30599040525186216,108
92,3196,4625,100,22,0.3057694735513193,111
93,3189,4629,103,22,0.30520136346420906,111
94,3150,4667,104,22,0.3015402095694988,111
95,2659,5157,105,1177,0.25508142911248577,126
96,2665,5148,108,17,0.25574422421411436,127
97,2667,5144,110,16,0.2559967175861634,128
98,2665,5145,111,20,0.2558389092286327,128
99,2667,5142,112,20,0.2560598409291756,128
100,2657,5152,112,26,0.2551129907839919,128
101,2642,5166,113,24,0.2537242772377225,128
102,2636,5170,115,13,0.2532192904936245,128
103,2640,5164,117,23,0.2536611538947103,128
104,2642,5158,121,23,0.2539767706097715,128
105,2644,5156,121,25,0.2541661406388082,129
106,2645,5154,122,17,0.2542923873248327,129
107,2647,5148,126,17,0.2546080040398939,129
108,2649,5144,128,19,0.254860497411943,129
109,2634,5156,131,19,0.25353490720868577,129
110,2631,5158,132,18,0.2532824138366368,129
111,2630,5158,133,21,0.2532192904936245,129
112,2607,5177,137,31,0.2511677818457265,129
113,2594,5188,139,16,0.25,129
114,2594,5185,142,18,0.25009468501451837,129
115,2589,5188,144,15,0.24968438328493878,129
116,2592,5184,145,17,0.25,129
117,2591,5183,147,19,0.24996843832849386,129
118,2586,5188,147,22,0.249495013255902,129
119,2585,5187,149,21,0.2494634515843959,129
120,2588,5178,155,15,0.24993687665698774,129
121,2586,5180,155,20,0.249747506627951,129
122,2565,5196,160,17,0.24791692968059587,129
123,2565,5196,160,18,0.24791692968059587,129
124,2510,5246,165,26,0.2428670622396162,129
125,2455,5299,167,20,0.23772250978411816,129
126,2429,5324,168,21,0.23529226107814666,129
127,2405,5345,171,22,0.2331145057442242,130
128,2392,5357,172,18,0.23191516222699157,130
129,2386,5360,175,21,0.23144173715439972,130
130,2386,5357,178,16,0.23153642216891807,131
131,2385,5355,181,20,0.23153642216891804,132
132,2383,5356,182,22,0.23137861381138747,132
133,2383,5353,185,26,0.23147329882590584,132
134,2385,5350,186,25,0.23169423052644866,132
135,2380,5354,187,25,0.23125236712536296,132
136,2344,5387,190,18,0.22793839161722004,132
137,2319,5404,198,20,0.2258237596263098,132
138,2317,5404,200,22,0.2256975129402853,132
139,2310,5410,201,15,0.2250662795101629,132
140,2295,5425,201,24,0.22364600429238735,132
141,2302,5417,202,12,0.224340361065522,132
142,2299,5420,202,21,0.22405630602196688,132
143,2300,5414,207,21,0.2243087993940159,132
144,2298,5414,209,17,0.22418255270799145,132
145,2295,5415,211,16,0.22396162100744857,132
146,2291,5417,213,23,0.22364600429238732,132
147,2255,5449,217,24,0.22036359045575052,132
148,2165,5536,220,24,0.21193662416361572,132
149,2164,5536,221,26,0.21187350082060344,132
150,2159,5541,221,19,0.21140007574801162,132
151,2159,5540,222,22,0.21143163741951776,132
152,2159,5538,224,18,0.21149476076253,132
153,2158,5536,227,19,0.21149476076252996,132
154,2161,5533,227,19,0.21177881580608507,132
155,2160,5532,229,20,0.21174725413457898,132
156,2160,5531,230,25,0.2117788158060851,132
157,2161,5528,232,20,0.2119366241636157,132
158,2164,5523,234,22,0.21228380255018306,132
